الجدول ١
Credit-Application-Result;Account-Balance;Duration-of-Credit-Month;Payment-Status-of-Previous-Credit;Purpose;Credit-Amount;Value-Savings-Stocks;Length-of-current-employment;Instalment-per-cent;Guarantors;Duration-in-Current-address;Most-valuable-available-asset;Age-years;Concurrent-Credits;Type-of-apartment;No-of-Credits-at-this-Bank;Occupation;No-of-dependents;Telephone;Foreign-Worker
Creditworthy;Some Balance;٤;Paid Up;Other;١٤٩٤;£100-£1000;< 1yr;١;None;٢;١;;Other Banks/Depts;٢;1;١;٢;١;٢
Creditworthy;Some Balance;٤;Paid Up;Home Related;١٤٩٤;£100-£1000;< 1yr;١;None;٢;١;٢٩;Other Banks/Depts;٢;1;١;٢;١;٢
Creditworthy;Some Balance;٤;No Problems (in this bank);Home Related;١٥٤٤;None;1-4 yrs;٢;None;١;١;٤٢;Other Banks/Depts;٢;More than 1;١;٢;١;١
Creditworthy;Some Balance;٤;No Problems (in this bank);Home Related;٣٣٨٠;None;1-4 yrs;١;None;١;١;٣٧;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;٦;Paid Up;Home Related;٣٤٣;None;< 1yr;٤;None;١;١;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٦;No Problems (in this bank);Home Related;٣٦٢;< £100;< 1yr;٤;None;;٣;٥٢;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٦;Some Problems;Home Related;٤٣٣;£100-£1000;< 1yr;٤;None;;٢;٢٤;Other Banks/Depts;١;1;١;٢;١;١
Creditworthy;No Account;٦;Paid Up;Home Related;٤٥٤;None;< 1yr;٣;None;;٢;٢٢;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٦;Paid Up;Home Related;٤٨٤;None;1-4 yrs;٣;Yes;٣;١;٢٨;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٦;Paid Up;Home Related;٦٦٠;£100-£1000;1-4 yrs;٢;None;٤;١;٢٣;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;٦;No Problems (in this bank);Home Related;٦٦٦;£100-£1000;1-4 yrs;٣;None;٤;١;٣٩;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٦;No Problems (in this bank);Home Related;٧٠٠;£100-£1000;4-7 yrs;٤;None;;٤;٣٦;Other Banks/Depts;٣;More than 1;١;١;١;١
Creditworthy;Some Balance;٦;Paid Up;Home Related;٧٠٩;£100-£1000;< 1yr;٢;None;٢;١;٢٧;Other Banks/Depts;٢;1;١;١;١;٢
Creditworthy;No Account;٦;No Problems (in this bank);Home Related;٩٣٢;£100-£1000;1-4 yrs;١;None;;٢;٣٩;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;٦;No Problems (in this bank);Home Related;١٠٤٧;None;< 1yr;٢;None;;٢;٥٠;Other Banks/Depts;٢;1;١;١;١;١
