الجدول ١
Account-Balance;Duration-of-Credit-Month;Payment-Status-of-Previous-Credit;Purpose;Credit-Amount;Value-Savings-Stocks;Length-of-current-employment;Instalment-per-cent;Guarantors;Duration-in-Current-address;Most-valuable-available-asset;Age-years;Concurrent-Credits;Type-of-apartment;No-of-Credits-at-this-Bank;Occupation;No-of-dependents;Telephone;Foreign-Worker
No Account;٩;No Problems (in this bank);Home Related;٢٧٩٩;None;< 1yr;٢;None;٢;١;٣٦;Other Banks/Depts;١;More than 1;١;٢;١;١
No Account;١٢;No Problems (in this bank);Home Related;٢١٢٢;None;< 1yr;٣;None;٢;١;٣٩;Other Banks/Depts;١;More than 1;١;٢;١;٢
No Account;٢٤;Paid Up;Home Related;٣٧٥٨;£100-£1000;< 1yr;١;None;٤;٤;٢٣;Other Banks/Depts;١;1;١;١;١;١
No Account;١١;No Problems (in this bank);Home Related;٣٩٠٥;None;< 1yr;٢;None;٢;١;٣٦;Other Banks/Depts;١;More than 1;١;٢;١;١
No Account;٦;No Problems (in this bank);Home Related;١٩٥٧;None;1-4 yrs;١;None;٤;٣;٣١;Other Banks/Depts;٢;1;١;١;١;١
No Account;٦;Paid Up;Home Related;٢٦٤٧;£100-£1000;< 1yr;٢;None;٣;١;٤٤;Other Banks/Depts;١;1;١;٢;١;١
No Account;٣٦;No Problems (in this bank);Home Related;٢٣٣٧;None;4-7 yrs;٤;None;٤;١;٣٦;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١١;No Problems (in this bank);Home Related;٧٢٢٨;None;< 1yr;١;None;٤;٢;٣٩;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٣٦;Paid Up;Home Related;٢٣٨٤;None;< 1yr;٤;None;١;٤;٣٣;Other Banks/Depts;١;1;١;١;١;١
No Account;١١;No Problems (in this bank);Home Related;٤٧٧١;None;1-4 yrs;٢;None;٤;٢;٥١;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٥;Paid Up;Home Related;٣٥٥٦;£100-£1000;< 1yr;٣;None;٢;٤;٢٩;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٤٢;No Problems (in this bank);New car;٤٧٩٦;None;4-7 yrs;٤;None;٤;٤;٥٦;Other Banks/Depts;٣;1;١;١;١;١
Some Balance;٣٦;No Problems (in this bank);Home Related;٦٦١٤;None;4-7 yrs;٤;None;٤;٣;٣٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٥;Paid Up;Home Related;١٧٢١;None;< 1yr;٢;None;٣;١;٣٦;Other Banks/Depts;٢;1;١;١;١;١
No Account;٦;No Problems (in this bank);Home Related;٨٦٠;None;4-7 yrs;١;None;٤;٤;٣٩;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٢;No Problems (in this bank);Home Related;١٤٩٥;None;4-7 yrs;٤;None;١;١;٣٨;Other Banks/Depts;٢;More than 1;١;٢;١;١
Some Balance;١٢;No Problems (in this bank);Home Related;١٩٣٤;None;4-7 yrs;٢;None;٢;٤;٢٦;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;١٨;Paid Up;New car;٣٣٧٨;£100-£1000;< 1yr;٢;None;١;٢;٣١;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٢٤;Paid Up;Home Related;١٧٥٥;None;4-7 yrs;٤;Yes;٤;١;٥٨;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٨;Paid Up;Home Related;١٢٣٩;£100-£1000;< 1yr;٤;None;٤;٤;٦١;Other Banks/Depts;٣;1;١;١;١;١
Some Balance;٢٤;Paid Up;Home Related;١٤٧٤;< £100;< 1yr;٤;None;٣;١;٣٣;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٢;Paid Up;Home Related;٦٤٠;None;< 1yr;٤;None;٢;١;٤٩;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٣٦;Paid Up;Home Related;٣٩١٩;None;< 1yr;٢;None;٢;١;٢٣;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٢;No Problems (in this bank);Home Related;٢٣٣١;£100-£1000;4-7 yrs;١;Yes;٤;١;٤٩;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٢٤;Paid Up;New car;٦٣١٣;£100-£1000;4-7 yrs;٣;None;٤;٣;٤١;Other Banks/Depts;٢;1;١;٢;٢;١
